Corpus,Tweet Text,Stance,Foundation
EVM,#EVMs are easy to manipulate . This was demonstrated by the #BJP in 2009 !,1,Fairness
CAA,"Congratulations
Aa gya  #CAA",1,Loyalty
CAA,"My dear Indian muslims we are 35 crores of population in india if we get united each & every politician & hindutvawadis will become useless

Remember the #caa protests",-1,Loyalty
CAA,"This guy was part of anti Hindu protests in the name of #CAA in which many Hindus were kiIIed.

Today he's enjoying celebrity life!!!!",1,Authority
CAA,Woman protester breaks down while speaking to NDTV's Ravish Kumar at Delhi's #ShaheenBagh #CAA #NRC,0,Care
CAA,"So its Clear now Protest against #CAA is not for Political/Democratic Reason it's Ghazwa-E-Hind,Anti Hindu and Pure Fanatic Islamic Movement.",1,Purity
CAA,"Delhi with #CAA
Delhi with 
@narendramodi
 
Delhi with 
@AmitShah",1,Loyalty
CAA,"Madhya Pradesh: A protestor pulls hair of Rajgarh Deputy Collector Priya Verma, after she hits BJP workers and drags them. The clash broke out during a demonstration in support of #CAA.",0,Fairness
CAA,"In the freezing cold of December, the women of Shaheen bagh keep vigil under blankets, their infants in a huddle under one arm, as men distribute chai and boiled eggs. It's 17th night of this women led vigil against #CAA #NRC. The Tiranga is at the centre #ShaheenBagh",-1,Care
CAA,"Meanwhile the Shiv Sena still doesn’t know what #CAA is all about 
They are just toeing what “Sonia Amma“ says them to toe ",1,Loyalty
CAA,I’m an Indian Muslim and I welcome #CAA,1,Fairness
CAA,"Congress leader Mani Shankar Aiyar at the protest against #CAA & #NRC, in Delhi's Shaheen Bagh: Jo bhi qurbaniyan deni hon, usme main bhi shaamil hone ke liye tayaar hun. Ab dekhein ki kiska hath mazboot hai, hamara ya uss kaatil ka?",0,Loyalty
CAA,"Kapil Mishra, BJP on violence in North East Delhi: I appeal to everyone to stop violence as it will not lead to any solution. Whether it is people who are supporting #CAA or those who are against it, I appeal everyone to maintain peace. Delhi's brotherhood should remain intact.",0,Care
CAA,"Students have contacted us from Jyoti Nivas college in Bangalore and told us they were threatened to support #CAA or ""face consequences like JNU""- this happened outside their college gates. Hope relevant authorities are taking note",-1,Authority
CAA,"Dark day for India. 

A religion-based citizenship test is antithetical to the secular constitutional foundations of the republic, and I will fight against this legally and politically with all my might.

#CAA #MNMagainstCAA #CAANotification",-1,Fairness
EVM,#EVM machines never refuse to dissapoint #MaharashtraElection2024 #Haryana,-1,Fairness
EVM,Do you still believe #EVM's are hacked?,0,Authority
EVM,Modi himself raised serious concern about EVM during the 2014 LS election. What happened to his stand now ? Will the media share this clip to Modi ask his stand ?@narendramodi #EVM,-1,Authority
EVM,We are raising our voice against the confusion surrounding #EVMs that has emerged among the people of the state.,0,Fairness
EVM,Ppl standing in Rain to welcome PM Modi in kerala. Then the lobby questions #ModiMagic to #EVM .,-1,Loyalty
EVM,Pappu : Who needs Enemies when you have Friends like Karti Chidambaram. #EVM #EVMs,1,Loyalty
